doi,publisher,type,created,created_year
10.31223/osf.io/jgp3m,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/qsfuh,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/8gsqw,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/ak5yb,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/rhcws,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/4kt9x,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/zmt54,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/r9hfy,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/4vw6d,California Digital Library (CDL),posted-content,2018-09-11,2018
10.31223/osf.io/zf93p,California Digital Library (CDL),posted-content,2020-03-03,2020
10.31223/osf.io/95rky,California Digital Library (CDL),posted-content,2019-08-12,2019
10.31223/osf.io/7t5fq,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/2fdct,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/gd2zy,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/utnz2,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/evk6b,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/d6yvx,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/d6u4a,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/y9n47,California Digital Library (CDL),posted-content,2019-02-19,2019
10.31223/osf.io/swhma,California Digital Library (CDL),posted-content,2019-10-03,2019
10.31234/osf.io/27esu,Center for Open Science,posted-content,2018-07-02,2018
10.31223/osf.io/2tyda,California Digital Library (CDL),posted-content,2019-09-06,2019
10.31223/osf.io/vy6zn,California Digital Library (CDL),posted-content,2018-10-09,2018
10.31223/osf.io/9aey5,California Digital Library (CDL),posted-content,2019-09-06,2019
10.31223/osf.io/x58wg,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/k6tgf,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/4c2s5,California Digital Library (CDL),posted-content,2019-09-06,2019
10.31223/osf.io/nj5mf,California Digital Library (CDL),posted-content,2018-07-26,2018
10.31223/osf.io/kt2ve,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/5yv4f,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/7g4kq,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/ux82d,California Digital Library (CDL),posted-content,2019-05-30,2019
10.31223/osf.io/vfn35,California Digital Library (CDL),posted-content,2018-09-04,2018
10.31223/osf.io/97qx8,California Digital Library (CDL),posted-content,2018-11-02,2018
10.31223/osf.io/egpfn,California Digital Library (CDL),posted-content,2020-01-08,2020
10.31223/osf.io/3wzav,California Digital Library (CDL),posted-content,2018-07-02,2018
