"DOI","publisher","type","created","created_year"
"10.7287/peerj.preprints.643v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.687v2","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.687v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.641v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.664v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.610v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.567v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.591v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.571v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.645v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.759v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.698v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.724v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.511v2","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.511v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.597v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.590v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.666v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.691v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.691v2","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.548v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.744v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.646v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.377v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.560v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.581v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.802v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.584v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.746v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.563v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.565v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.583v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.583v2","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.707v2","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.573v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.782v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.464v3","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.607v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.657v1","PeerJ","posted-content",2018-01-12,2018
